name,area_square_miles
Arabian Sea,1490000
Bay of Bengal,839000
Andaman Sea,232000
Red Sea,190000
Java Sea,120000
Persian Gulf,97000
Scotia Sea,347000
Barents Sea,540000
Greenland Sea,465000
East Siberian Sea,381000
Kara Sea,358000
Laptev Sea,270000
Baffin Bay,266000
Chukchi Sea,240000
