name,area_square_miles
Philippine Sea,2000000
Coral Sea,1850000
South China Sea,1400000
Bering Sea,770000
East China Sea,485000
Yellow Sea,150000
Celebes Sea,110000
Caribbean Sea,1065000
Mediterranean Sea,970000
Gulf of Mexico,600000
Norwegian Sea,534000
Hudson Bay,470000
North Sea,220000
